# Clock frequency is approx. 2593.9 MHz
# Memory mountain (MB/sec)
15	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	7635	4467	3357	2686	2274	1965	1752	1567	1449	1365	1298	1242	1201	1168	1149	
16	8024	4722	3544	2849	2408	2087	1864	1669	1553	1465	1391	1334	1294	1259	1254	
15	8574	5131	3840	3084	2577	2246	2023	1822	1707	1643	1602	1619	1651	1785	1932	
14	15438	9513	6935	5476	4466	3750	3333	2934	2851	2859	2748	2787	2791	2767	2755	
13	21101	12322	8507	6399	5131	4276	3684	3236	3103	3009	2916	2846	2798	2770	2754	
12	24481	13151	8781	6578	5268	4392	3764	3293	3171	3069	2982	2902	2875	2853	2862	
11	24255	13426	9011	6760	5401	4499	3876	3372	3344	3352	3485	3590	3946	4370	4889	
10	28027	20005	16613	13947	11687	10056	8754	7686	8691	9451	10359	11657	13223	14138	15187	
9	30667	25186	24581	24358	22891	21294	19459	17700	17329	17284	17067	17276	18365	16829	16623	
8	31189	25718	25235	25073	24147	22620	20545	19291	17802	18094	17814	18080	17446	17521	18003	
7	30964	25725	25229	25117	23561	21302	19759	19092	16909	16864	17019	17149	17004	17006	16789	
6	30976	25804	25206	24766	23003	21693	19304	18038	17201	16535	16334	16904	16103	16189	25874	
5	39830	38776	36509	36637	34975	33888	33175	31066	32558	34265	39818	35764	27934	30048	30457	
4	42414	40398	37875	34721	33721	32483	31287	32392	33246	36628	33296	29506	30833	26163	24005	
